city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Kingston,Kingston,IL,Illinois,17037,DeKalb,42.1008,-88.7619,1156,453.7,shape,FALSE,TRUE,America/Chicago,3,60145,1840011335
Concord,Concord,MI,Michigan,26075,Jackson,42.1762,-84.6456,1156,296.8,shape,FALSE,TRUE,America/Detroit,3,49237,1840011197
St. Ansgar,St. Ansgar,IA,Iowa,19131,Mitchell,43.3799,-92.9178,1156,410,shape,FALSE,TRUE,America/Chicago,3,50472 50481,1840009033
Athens,Athens,WV,West Virginia,54055,Mercer,37.4231,-81.0151,1156,1107.7,shape,FALSE,TRUE,America/New_York,3,24712,1840006403
Cedar Bluff,Cedar Bluff,VA,Virginia,51185,Tazewell,37.0876,-81.7633,1156,213.5,shape,FALSE,TRUE,America/New_York,3,24609,1840006452
McGaheysville,McGaheysville,VA,Virginia,51165,Rockingham,38.3724,-78.7327,1155,522.5,shape,FALSE,FALSE,America/New_York,3,22840,1840116639
Ladoga,Ladoga,IN,Indiana,18107,Montgomery,39.9167,-86.7989,1155,830.5,shape,FALSE,TRUE,America/Indiana/Indianapolis,3,47954,1840009461
Thorntown,Thorntown,IN,Indiana,18011,Boone,40.1294,-86.6099,1155,727.4,shape,FALSE,TRUE,America/Indiana/Indianapolis,3,46071,1840010512
Reno,Reno,OH,Ohio,39167,Washington,39.3769,-81.3933,1154,580.2,shape,FALSE,FALSE,America/New_York,3,45750,1840026639
Doña Ana,Dona Ana,NM,New Mexico,35013,Doña Ana,32.394,-106.8177,1154,697.6,shape,FALSE,FALSE,America/Denver,3,88007,1840019409
Fanning Springs,Fanning Springs,FL,Florida,12075,Levy,29.5873,-82.9245,1154,91.5,shape,FALSE,TRUE,America/New_York,3,32693,1840014038
Cottageville,Cottageville,SC,South Carolina,45029,Colleton,32.9362,-80.4803,1154,130.4,shape,FALSE,TRUE,America/New_York,3,29435,1840016901
Markle,Markle,IN,Indiana,18069,Huntington,40.8285,-85.3406,1154,307.1,shape,FALSE,TRUE,America/Indiana/Indianapolis,3,46770,1840009361
Delta Junction,Delta Junction,AK,Alaska,02240,Southeast Fairbanks,64.0603,-145.7058,1154,32.1,shape,FALSE,TRUE,America/Anchorage,3,99737,1840023474
Jennerstown,Jennerstown,PA,Pennsylvania,42111,Somerset,40.1635,-79.061,1153,231.5,shape,FALSE,TRUE,America/New_York,3,15531 15563 15547,1840003739
Glidden,Glidden,IA,Iowa,19027,Carroll,42.0577,-94.7266,1153,400,shape,FALSE,TRUE,America/Chicago,3,51443,1840008116
Douglas,Douglas,AL,Alabama,01095,Marshall,34.1705,-86.3224,1153,130.8,shape,FALSE,TRUE,America/Chicago,3,35957 35980 35964,1840016619
Edmundson,Edmundson,MO,Missouri,29189,St. Louis,38.7351,-90.3658,1153,401.6,shape,FALSE,TRUE,America/Chicago,3,63134,1840008580
